brand,ram_gb,storage_gb,screen_size_inch,has_5g,main_camera_mp
Apple,8.0,128.0,6.1,Unknown,
Samsung,8.0,128.0,6.7,Yes,50.0
Xiaomi,16.0,512.0,6.9,Yes,50.0
Samsung,12.0,256.0,6.3,Yes,50.0
Apple,12.0,256.0,6.3,Unknown,
Nubia,8.0,256.0,6.75,Unknown,50.0
Tecno,8.0,128.0,6.78,Unknown,50.0
Xiaomi,8.0,256.0,6.9,Unknown,50.0
REDMAGIC,16.0,512.0,6.85,Yes,50.0
Apple,12.0,1024.0,6.9,Unknown,
Honor,3.0,64.0,6.74,Unknown,13.0
Samsung,12.0,256.0,7.6,Yes,50.0
Xiaomi,12.0,512.0,6.67,Yes,
Apple,8.0,256.0,6.1,Unknown,
Xiaomi,4.0,128.0,6.9,No,13.0
Oppo,6.0,256.0,6.75,Unknown,13.0
Oppo,12.0,256.0,6.59,Yes,
Samsung,8.0,128.0,6.7,Yes,50.0
Samsung,4.0,128.0,6.74,Yes,50.0
Tecno,8.0,128.0,6.78,Unknown,64.0
Oppo,8.0,256.0,6.57,Yes,50.0
Oppo,4.0,64.0,6.75,No,13.0
Honor,4.0,128.0,6.56,No,13.0
Samsung,8.0,128.0,6.7,Yes,50.0
Apple,8.0,128.0,6.7,Unknown,
Samsung,12.0,256.0,8.0,Yes,200.0
Samsung,8.0,128.0,6.7,Yes,50.0
Oppo,8.0,256.0,6.57,Unknown,50.0
Samsung,6.0,128.0,6.7,Yes,50.0
Xiaomi,8.0,256.0,6.83,Yes,50.0
Honor,12.0,256.0,6.57,Yes,200.0
Oppo,16.0,512.0,7.82,Yes,48.0
Nubia,8.0,256.0,6.78,Yes,50.0
Oppo,4.0,64.0,6.75,No,13.0
Oppo,8.0,256.0,6.67,Yes,50.0
Xiaomi,12.0,512.0,6.59,Yes,50.0
Xiaomi,6.0,256.0,6.9,Unknown,50.0
Nubia,4.0,128.0,6.75,No,50.0
Apple,8.0,512.0,6.7,Unknown,
Oppo,8.0,128.0,6.75,Unknown,50.0
Oppo,8.0,256.0,6.57,Yes,50.0
Itel,8.0,256.0,6.6,Unknown,50.0
