brand,model_name,ram_gb,storage_gb,screen_size_inch,has_5g,main_camera_mp,price_vnd,product_url,collected_at
Oppo,OPPO Reno15 5G 12GB,12.0,256.0,6.59,1.0,50.0,16990000,https://fptshop.com.vn/dien-thoai/oppo-reno15-5g,2026-08-07T14:33:04.559689
Apple,iPhone 16,8.0,128.0,6.1,,,20990000,https://fptshop.com.vn/dien-thoai/iphone-16,2026-08-07T14:33:06.987658
Samsung,Samsung Galaxy S25 FE 5G,8.0,128.0,6.7,1.0,50.0,13090000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s25-fe?sku=00921056,2026-08-07T14:33:09.947777
Xiaomi,Xiaomi 17 Ultra 5G 16GB,16.0,512.0,6.9,1.0,50.0,31990000,https://fptshop.com.vn/dien-thoai/xiaomi-17-ultra?sku=00925846,2026-08-07T14:33:13.261084
Samsung,Samsung Galaxy S26 5G 12GB,12.0,256.0,6.3,1.0,50.0,20990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26,2026-08-07T14:33:18.198515
Apple,iPhone 17 Pro,12.0,256.0,6.3,,,31990000,https://fptshop.com.vn/dien-thoai/iphone-17-pro,2026-08-07T14:33:20.677071
Nubia,Nubia V80 Design 8GB,8.0,256.0,6.75,,50.0,4490000,https://fptshop.com.vn/dien-thoai/nubia-v80-design?sku=00924722,2026-08-07T14:33:24.199955
Oppo,OPPO Reno13 F 5G 12GB,12.0,256.0,6.67,1.0,50.0,9990000,https://fptshop.com.vn/dien-thoai/oppo-reno13-f-5g,2026-08-07T14:33:27.247407
Tecno,Tecno Camon 40 8GB,8.0,128.0,6.78,,50.0,4990000,https://fptshop.com.vn/dien-thoai/tecno-camon-40?sku=00917774,2026-08-07T14:33:30.843463
Xiaomi,Xiaomi Redmi 15C 8GB,8.0,256.0,6.9,,50.0,4990000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-15c-8gb,2026-08-07T14:33:33.385444
REDMAGIC,REDMAGIC 11S Pro 5G 16GB,16.0,512.0,6.85,1.0,50.0,25990000,https://fptshop.com.vn/dien-thoai/redmagic-11s-pro-16gb,2026-08-07T14:33:36.224420
Apple,iPhone 17 Pro Max,12.0,1024.0,6.9,,,46990000,https://fptshop.com.vn/dien-thoai/iphone-17-pro-max-1tb?sku=00921807,2026-08-07T14:33:38.995280
Honor,Honor Play 10 3GB,3.0,64.0,6.74,,13.0,3590000,https://fptshop.com.vn/dien-thoai/honor-play-10,2026-08-07T14:33:42.340639
