model_name,model_family,split
OPPO Reno15 5G 12GB,oppo reno15,test
iPhone 16,iphone 16,train
Samsung Galaxy S25 FE 5G,samsung galaxy s25 fe,train
Xiaomi 17 Ultra 5G 16GB,xiaomi 17 ultra,train
Samsung Galaxy S26 5G 12GB,samsung galaxy s26,train
iPhone 17 Pro,iphone 17 pro,train
Nubia V80 Design 8GB,nubia v80 design,train
OPPO Reno13 F 5G 12GB,oppo reno13 f,test
Tecno Camon 40 8GB,tecno camon 40,train
Xiaomi Redmi 15C 8GB,xiaomi redmi 15c,train
REDMAGIC 11S Pro 5G 16GB,redmagic 11s pro,train
iPhone 17 Pro Max,iphone 17 pro max,train
Honor Play 10 3GB,honor play 10,train
iPhone Air,iphone air,test
Samsung Galaxy Z Fold8 5G 12GB,samsung galaxy z fold8,train
TCL 60R 5G 4GB,tcl 60r,test
Xiaomi Poco X7 5G 12GB,xiaomi poco x7,train
iPhone 16,iphone 16,train
Xiaomi POCO C81 Pro 4GB,xiaomi poco c81 pro,train
OPPO A6T 6GB,oppo a6t,train
Honor X7d 8GB,honor x7d,test
Oppo Find X9s 5G 12GB,oppo find x9s,train
Samsung Galaxy A26 5G,samsung galaxy a26,train
Samsung Galaxy A07 5G 4GB,samsung galaxy a07,train
Xiaomi 17T Pro 5G 12GB,xiaomi 17t pro,test
Tecno Spark 30 8GB,tecno spark 30,train
OPPO Reno15 F 5G 8GB,oppo reno15 f,train
Oppo A6C 4GB,oppo a6c,train
Honor X5b Plus 4GB,honor x5b plus,train
Xiaomi Redmi Note 15 5G 6GB,xiaomi redmi note 15,test
Samsung Galaxy A56 5G,samsung galaxy a56,train
iPhone 16 Plus,iphone 16 plus,train
Samsung Galaxy Z Fold7 5G,samsung galaxy z fold7,train
Samsung Galaxy A17 5G,samsung galaxy a17,train
OPPO A6 Pro 8GB,oppo a6 pro,train
Samsung Galaxy A27 5G 6GB,samsung galaxy a27,train
OPPO Reno12 5G 12GB,oppo reno12,test
Xiaomi Poco M8 Pro 5G 8GB,xiaomi poco m8 pro,train
Xiaomi Redmi Note 15 6GB,xiaomi redmi note 15,test
Honor 600 5G 12GB,honor 600,train
OPPO Find N3 5G 16GB,oppo find n3,train
Nubia Air 5G 8GB,nubia air,train
OPPO A6T 4GB,oppo a6t,train
OPPO Reno12 F 5G 8GB,oppo reno12 f,train
Xiaomi 17T 5G 12GB,xiaomi 17t,train
